sp name	gender	country	place1	place2	coordinates	col2	col3
spinipenne	1 ♂	Ecuador*	Sucumbíos Province	Sucumbíos Sacha Lodge	[-0.500, -76.500]	290m	VIII.1994	LACM
spinipenne	2 ♀	Bolivia	Cochabamba Department, Chapare Province	Chapare	[-16.712, -65.666]	400m	12.IX.1959	SMNS
spinipenne	1 ♀	Bolivia	Cochabamba Department, Chapare Province	Chapare, Upper Rio Chipiri	[-16.806, -65.288]	400m	5.XI.1953	ZSM
spinipenne	1 ♀	Bolivia	Cochabamba Department, Chapare Province	Chapare, Upper Rio Chipiri	[-16.806, -65.288]	400m	28.X.1953	ZSM
spinipenne	1 ♂	Bolivia	Cochabamba Department, Chapare Province	Villa Tunari	[-16.970025, -65.424913]		8.-12.X.1992	FSCA
spinipenne	1 ♂	Bolivia	Cochabamba Department, Chapare Province	Villa Tunari	[-16.970025, -65.424913]		13.-15.XI.2003	FSCA
spinipenne	1 ♀	Bolivia	Cochabamba Department, Chapare Province	Villa Tunari Hotel Los Tucanes,	[-16.9732, -65.39655]	320m	4-6.IX.2000	CMN
spinipenne	5 ♂, 2 ♀	Boilvia	Santa Cruz Department, Ichilo Province	4-6 km SSE Buena Vista Hotel Flora and Fauna [-17.483, -63.650]	430m	17.-29.X.2000	JWPC
spinipenne	5 ♂1 ♀	Bolivia	Santa Cruz Department, Ichilo Province	3.7 km SSE Buena Vista Hotel Flora and Fauna [-17.483, -63.650]	430m	14.-28.X.2000	FSCA
spinipenne	1 ♂	Bolivia	Santa Cruz Department, Ichilo Province	5 km SSE Buena Vista Hotel Flora and Fauna, -17.499, -63.652	440m	10.-22.X.2004	FSCA
spinipenne	1 ♂	Bolivia	Santa Cruz Department, Ichilo Province	3.7 km SSE Buena Vista Hotel Flora and Fauna, -17.499, -63.553	405m	05.-15.XI.2001	FSCA
spinipenne	1 ♀	Bolivia	Santa Cruz Department, Ichilo Province	Buena Vista Hotel Flora and Fauna [-17.483, -63.650]		14.-16.X.2000	FSCA
spinipenne	1 ♂	Bolivia	Santa Cruz Department, Ichilo Province	Buena Vista Hotel Flora and Fauna [-17.483, -63.650]		21.-25.XI.2003	FSCA
spinipenne	1 ♂	Bolivia	Santa Cruz Department, Ichilo Province	Buena Vista Hotel Flora and Fauna [-17.483, -63.650]	2m	17.-20.X.2000	CMN
spinipenne	1 ♀	Bolivia	Santa Cruz Department, Ichilo Province	Buena Vista [-17.483, -63.650]	375m	II.1950	CMN
spinipenne	1 ♀	Bolivia	Santa Cruz Department, Ichilo Province	3 km SW Buena Vista, -17.483889, -63.681667	332m	20.-21.XI.2013	VKPC
spinipenne	1 ♂, 3 ♀	Bolivia	Santa Cruz Department, Sara Province	Sara Province			ZMHB
spinipenne	1 ♂	Bolivia	Santa Cruz Department, Sara Province	Sara Province			ZSM
spinipenne	1 ♂, 3 ♀	Bolivia				VIII.1961	SMNS
spinipenne	1 ♀	Bolivia		Czibal Dayu, Chayaza		X.1988	MHNL
spinipenne	1 ♀	Brazil*		R.Purus			ZMHB
spinipenne	1 ♂	Colombia*				1981	MHNL
spinipenne	1 ♀	Peru	Ayacucho Region, La Mar Province	Luisiana, Apurimac River [-12.667, -73.733]	610m	15.VII.-10.VIII.1968	AMNH
spinipenne	1 ♂, 1 ♀	Peru	Ayacucho Region, La Mar Province	Santa Rosa [-12.687, -73.742]	640m	8.-15.IX.1976	MLJC
spinipenne	1 ♀	Peru	Ayacucho Region, La Mar Province	Santa Rosa [-12.687, -73.742]	640m	19.-25.IX.1976	USNM
spinipenne	1 ♂, 6 ♀	Peru	Ayacucho Region, La Mar Province	Santa Rosa [-12.687, -73.742]	640m	8.-15.IX.1976	USNM
spinipenne	1 ♀	Peru	Cusco Region, Quispicanchi Province 	Quincemil [-13.219, -70.765]	750m	VIII.1962	ZSM
spinipenne	2 ♀	Peru	Huánuco Region, Leoncio Prado Province	Chinchavito, 25 km South of Tingo Maria [-9.483, -75.917]	600m	20.-24.VI.1982	FSCA
spinipenne	2 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	670m	X.1946	NHMB
spinipenne	2 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]		19.-27.VI.1982	FSCA
spinipenne	1 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]		27.III.1963	NHMB
spinipenne	8 ♂, 6 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]		VII.2011	SLCC
spinipenne	3 ♂, 2 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]			MSPC
spinipenne	2 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	441-670m	XI.1946	USNM
spinipenne	3 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]		1950	USNM
spinipenne	1 ♂	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	670m	16.-26.VIII.1951	USNM
spinipenne	1 ♂	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	671m	19.V.1947	AMNH
spinipenne	46 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	671m	14.-29.V.1947	AMNH
spinipenne	3 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	671m	08.-22.X.1946	AMNH
spinipenne	1 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	671m	26.XI.1946	AMNH
spinipenne	3 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]		18.-27.VI.1982	LACM
spinipenne	1 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]	670m	X.1946	ZSM
spinipenne	1 ♀	Peru	Huánuco Region, Leoncio Prado Province	Tingo Maria [-9.29, -76.01]		VII.1972	CMN
